Statistic,Fish Mean,Shark Mean
Vpip,48.806214450808966,40.03744049142564
Limp,25.869029243292132,16.31420527258766
Call_any_pfr,42.112617827354036,34.12309188635781
Fold_to_3bet,58.06344688975983,63.00910673150756
Fold_to_4bet+,45.9491669178977,49.02319426670079
Total_af,2.2658476535021608,2.426393652418735
Fold_to_f_cbet,39.96941362534508,38.22482196886505
Fold_to_r_cbet,43.80853910617488,42.08652086173246
Cbet_t,63.250218064003576,61.71354051360666
Xr_flop,6.63578635313034,7.301819810596365
Fold_to_t_cbet,38.09519376387901,36.807624993249696
Fold_to_t_xr,27.47329012159582,28.269833631942667
Xr_river,3.2883579539744745,4.0779831072434085
